Protein IDs	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
A0A024QZP7;P06493;P06493-2;E5RIU6;G3V317;E7ESI2;G3V5T9;P24941-2;P24941	0	0	285220	340820	11174000	11264000	3994500	2800200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9PNH7;A0A024R3B9;P02511;E9PJL7;E9PRA8	0	0	167710	24301000	6966400	4244600	1448400	17080000	701060	807250	9390100	14267000	3971000	4653000	7236600	2577800	211340	928970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024R4E5;Q00341;Q00341-2;H0Y394;H7C0A4;C9JIZ1;C9J5E5;H7C2D1;C9JZI8;C9JHZ8;H7BZC3;C9JES8;C9JHS7;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;H7C3D0;C9JHS9	0	0	89343	1049300	587990	684140	692700	2554000	268610	349840	1025000	2146100	1510900	2157600	4554000	8999200	951210	6755100	1387600	19843000	16879000	21917000	86482000	24104000	13336000	34516000	3132500	4502500	987480	5749500	3361400	3176700	9810.6	56570	144640	579030	155190	113130	101100	1012800	772660	337200	16015	21957	10935	16286	651.98	0
A0A087WZA9;A0A024R4K9;A0A087X266;Q9BXJ8-2;Q9BXJ8	0	0	0	0	0	0	0	0	0	0	0	0	1011300	7026700	16441000	10128000	342760	394100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024RA52;P25787;A0A7I2V2H3;A0A7I2YQP7;C9JCK5;H3BT36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136190	29436000	125690000	106160000	27125000	5885200	89680	272670	1412700	329650000	100020000	38135000	63638000	16859000	1435700	255520	74662	28347	0	0	0	0
A0A024RBT2;Q9NR28-2;Q9NR28;Q9NR28-3;H7BZK7;A0A2U3TZH2	0	0	102430	5794100	55179000	31321000	29564000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9PRM7;A0A0J9YWM3;A0A024RCG2;Q96BI1	0	0	0	0	0	0	0	0	0	4236000	12736000	3398000	493880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P46379-3;P46379;P46379-2;P46379-5;P46379-4;A0A7I2V508;A0A0G2JK23;A0A024RCR6;A0A7P0MQS5;A0A0G2JL47;X6REW1;A0A0G2JJM1;F6S6P2;F6UR09;F6WML8;F6X9W3;F6VEM6;F6U341;A0A1B0GX79;A0A0G2JJR8;A0A7I2V3H1;F6XTU0;F6U1F2;F6TC96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33170	63422	321100	796600	0	0	199010	2122300	1158900	885650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A067XG54;A0A804HIW2;Q8NB49-2;Q8NB49-3;Q8NB49-4;Q8NB49;H7C0E8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	687220	4905600	1750100	533410	224290	100710	183780	23099	66853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F8WE45;A0A075B6E9;A0A494C1A4;Q96NW7-2;Q96NW7;V9GZ42;V9GY23;V9GYE1;K7ELH5	0	0	0	0	0	0	0	0	0	0	2790900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	734350	63544	4207300	7528500	16917000	29154	43084	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B6R8;B7ZB24;H0YGQ3;F5H1U9;O75970-5;O75970-3;O75970-2;O75970	0	0	0	0	0	0	0	0	0	0	0	169390	141480	569340	1271500	1012900	19752	50950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B730;P58107	0	0	0	0	0	0	341300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330110	385470	0	36162	393890	463300	551520	651750	2781500	2886900	1001200	958550	0	1968700	453280	475190	5617.8	174120
A0A075B7B5;B7ZM87;O75044;A0A286YEY3;P0DMP2;P0DJJ0;A0A087WW56;A0A075B743;Q5VZB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	685680	61538	260360	156740	252500	0	19395	100360	178250	728140	280820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WSV0;I6LJZ7;Q9HB09-3;Q9HB09;M0QZM6;M0R1Z8;M0R1K0;I6LK00;I6LJZ9;Q9HB09-2	0	0	19874	2736600	1362500	898650	1117100	2413500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WT45;Q4V328;Q4V328-4;Q4V328-2;A0A087WXA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10897	403540	1040800	3336200	2294200	0	0	49603	2333400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A0D9SF51;A0A0D9SG17;A0A1B0GWB6;A0A087WW73;A0A087WT80;Q9NQ66-2;Q9NQ66;H0YCJ2;Q8IV92;A0A0D9SFJ4	0	0	0	0	0	0	0	0	31379	47809	111990	573120	4251300	3914000	583790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9PR95;E9PSC3;E9PLC5;E9PLB3;E9PIP1;E9PPB5;E9PQS1;A0A087WT99;A0A1W2PRB8;Q9H0W9-3;Q9H0W9-2;Q9H0W9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1243900	347550	224160	630930	286700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A096LNJ4;A0A087WX43;D6RE84;A0A096LP10;A0A087WTT9;A0A1B0GVW6;Q9NP73-2;Q9NP73;A0A096LNL2	0	0	0	0	0	0	0	5681600	270790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WTV6;Q96C36;J3KR12;A0A087WX69;A0A087WZF0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9196500	14886000	2584300	9311200	743880	595270	121850	404440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WTZ5;E9PJ81;E9PRQ7;Q04323;Q04323-2	0	0	2590900	9496700	188120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WU07;Q5TGZ0-2;Q5TGZ0;R4GMM1;R4GNA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19370000	29754000	0	276830	1067600	2271000	4485300	4819300	6704900	15159000	7916200	3518400	5344200	7165100	5539400	17886000	0	2807700
A6NNI4;A0A2R8Y478;A0A7I2V3T0;A0A7I2V3T7;G8JLH6;A0A087WU13;F5GXT1;P21926	0	0	0	0	0	0	0	806980000	180010000	48181000	53199000	67822000	32514000	20981000	32642000	33027000	1881600	5204700	763020	13929000	3258800	1397600	2792000	2995200	2690900	9176600	708520	758420	240470	1258500	1045200	0	0	63016	563470	1258300	1542800	1176700	1725800	1873200	587300	454800	484670	571450	403540	1150200	0	0
A0A087WU31;P51790-4;P51790-5;P51790;E9PE15;P51790-2;H0Y8Z8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45545	1085800	6602800	1570400	2710400	418100	270870	65705	65969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A8I5KY62;A0A8I5KYH1;A0A087WU53;Q9H0U3;A0A8I5KUC4;A0A8I5QJM4;A0A8I5QKX7;A0A8I5QJJ8;Q9H0U3-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28572	15867000	12691000	51710000	14145000	83712000	41781000	26939000	49790	1171600	4257700	11242000	7900900	5441600	4870100	3673700	639140	415060	66241	98579	32959	96051	0	0
A0A087WU65;A0A2R8YE10;Q9NRW7;A0A2R8YD95;Q9NRW7-2;B7Z7G7;A0A2R8YF01;A0A1B0GXI6	0	0	0	0	0	0	275270	1706600	447040	530020	704040	829880	366900	557070	3260300	3690600	158670	622630	22443	415330	43907	17814	0	38918	19743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WUD3;Q9NRP0;Q9NRP0-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1402400	892820	2431500	266570000	80212000	88760000	23942000	160110000	101870000	77576000	427110	2886200	13018000	39863000	19254000	22612000	18000000	0	0	0	3338300	0	0	0	0	0
